Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,AY 23-24, 1st,affiliate,contractor,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,1,95,96
Student,AY 23-24, 1st,student,degree,63,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,33,63,33,96
Staff,AY 23-24, 1st,affiliate,contractor,0,47,0,47,0,0,0,0,0,0,0,0,0,2,0,0,2,47,47,47,49,96
Staff,AY 23-24, 1st,employee,administrator,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96,0,96
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,19,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,77,19,77,96
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,93,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,3,93,3,96
Student,AY 23-24, 1st,student,degree,14,0,66,0,0,0,0,0,0,0,14,0,2,0,0,14,2,14,66,28,68,96
Faculty & Researcher,AY 23-24, 1st,employee,faculty,85,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11,85,11,96
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96,0,96
Staff,AY 23-24, 1st,employee,administrator,73,0,0,0,0,0,0,0,0,0,7,0,16,0,0,7,16,73,0,80,16,96
Staff,AY 23-24, 1st,affiliate,administrator,10,0,65,0,0,0,0,0,0,0,0,0,20,0,0,0,20,10,65,10,85,95
Student,AY 23-24, 1st,Default cost center,degree,1,0,82,0,0,0,0,0,0,0,1,0,11,0,0,1,11,1,82,2,93,95
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,29,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,66,29,66,95
Others,AY 23-24, 1st,affiliate,--Unknown billing code--,85,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,85,0,95,0,95
Faculty & Researcher,AY 23-24, 1st,employee,researcher,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95,0,95
Faculty & Researcher,AY 23-24, 1st,employee,visiting_scholar,62,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,33,62,33,95
Student,AY 23-24, 1st,student,degree,0,0,71,0,0,0,0,0,0,0,2,0,22,0,0,2,22,0,71,2,93,95
Student,AY 23-24, 1st,student,degree,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,94,1,95
Student,AY 23-24, 1st,student,degree,14,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,81,14,81,95
Student,AY 23-24, 1st,student,degree,14,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,81,14,81,95
Student,AY 23-24, 1st,student,degree,26,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,69,26,69,95
Others,AY 23-24, 1st,student,--Unknown billing code--,90,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,90,5,95
Student,AY 23-24, 1st,student,degree,26,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,69,26,69,95
Student,AY 23-24, 1st,student,degree,77,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,18,77,18,95
Faculty & Researcher,AY 23-24, 1st,employee,researcher,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,0,94
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,82,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,6,88,6,94
Staff,AY 23-24, 1st,affiliate,administrator,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,94
Staff,AY 23-24, 1st,affiliate,contractor,0,0,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,94
Staff,AY 23-24, 1st,employee,administrator,11,0,20,0,0,0,0,0,0,0,0,0,63,0,0,0,63,11,20,11,83,94
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,62,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,62,32,94
Others,AY 23-24, 1st,student,--Unknown billing code--,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,0,94
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,33,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,34,60,34,60,94
Student,AY 23-24, 1st,student,degree,74,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,20,74,20,94
Staff,AY 23-24, 1st,employee,administrator,92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,93,1,94
Student,AY 23-24, 1st,student,degree,49,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,45,49,45,94
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,67,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,26,67,26,93
Student,AY 23-24, 1st,student,degree,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,93
Staff,AY 23-24, 1st,affiliate,contractor,71,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,22,71,22,93
Staff,AY 23-24, 1st,affiliate,administrator,35,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,58,35,58,93
Student,AY 23-24, 1st,student,degree,9,0,82,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9,82,9,84,93
Student,AY 23-24, 1st,student,degree,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,93
Faculty & Researcher,AY 23-24, 1st,affiliate,research_affiliate,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,93
Staff,AY 23-24, 1st,affiliate,contractor,0,45,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,45,48,93
Student,AY 23-24, 1st,student,degree,28,4,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32,61,32,61,93
Student,AY 23-24, 1st,student,degree,87,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,87,6,93
Staff,AY 23-24, 1st,affiliate,contractor,0,4,1,86,0,0,0,0,0,0,0,1,0,1,0,1,1,4,87,5,88,93
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,93
Student,AY 23-24, 1st,student,degree,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0,93
Faculty & Researcher,AY 23-24, 1st,employee,researcher,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,45,48,93
Student,AY 23-24, 1st,student,degree,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,1,92,93
Student,AY 23-24, 1st,student,degree,30,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,30,63,93
Student,AY 23-24, 1st,student,degree,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,45,48,93
Student,AY 23-24, 1st,student,degree,55,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,38,55,38,93
Student,AY 23-24, 1st,student,degree,20,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,73,20,73,93
Student,AY 23-24, 1st,student,degree,72,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,20,72,20,92
Faculty & Researcher,AY 23-24, 1st,employee,researcher,8,0,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,8,84,92
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,26,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,66,26,66,92
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,92
Student,AY 23-24, 1st,student,degree,73,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,73,19,73,19,92
Student,AY 23-24, 1st,student,degree,61,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,31,61,31,92
Faculty & Researcher,AY 23-24, 1st,employee,faculty,75,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,17,75,17,92
Student,AY 23-24, 1st,student,degree,6,6,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,80,12,80,92
Student,AY 23-24, 1st,student,degree,40,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,40,52,92
Student,AY 23-24, 1st,student,degree,27,23,39,2,0,0,0,0,0,0,0,0,1,0,0,0,1,50,41,50,42,92
Faculty & Researcher,AY 23-24, 1st,employee,researcher,5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,87,5,87,92
Faculty & Researcher,AY 23-24, 1st,employee,faculty,8,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,8,84,92
Student,AY 23-24, 1st,student,degree,83,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,9,83,9,92
Staff,AY 23-24, 1st,employee,administrator,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,3,88,91
Others,AY 23-24, 1st,affiliate,employee_family_member,16,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75,16,75,91
Staff,AY 23-24, 1st,affiliate,administrator,40,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,40,51,91
Student,AY 23-24, 1st,student,degree,15,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,76,15,76,91
Staff,AY 23-24, 1st,affiliate,contractor,10,1,69,9,0,0,0,0,0,0,0,0,0,2,0,0,2,11,78,11,80,91
Faculty & Researcher,AY 23-24, 1st,employee,faculty,40,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,40,51,91
Student,AY 23-24, 1st,student,degree,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,0,91
Student,AY 23-24, 1st,student,degree,46,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,45,46,45,91
Student,AY 23-24, 1st,student,degree,34,0,54,0,0,0,0,0,0,0,0,0,3,0,0,0,3,34,54,34,57,91
Faculty & Researcher,AY 23-24, 1st,employee,researcher,8,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,83,8,83,91
Student,AY 23-24, 1st,affiliate,degree,3,0,63,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,3,88,91
Student,AY 23-24, 1st,student,degree,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,47,44,91
Staff,AY 23-24, 1st,employee,administrator,12,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,79,12,79,91
Faculty & Researcher,AY 23-24, 1st,employee,researcher,13,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,57,34,57,91
Student,AY 23-24, 1st,student,degree,82,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,9,82,9,91
Student,AY 23-24, 1st,student,degree,72,0,4,0,0,0,0,0,0,0,11,0,4,0,0,11,4,72,4,83,8,91
Student,AY 23-24, 1st,student,degree,76,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,15,76,15,91
Student,AY 23-24, 1st,student,degree,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80,10,80,90
Staff,AY 23-24, 1st,employee,administrator,13,0,54,0,0,0,0,0,0,0,7,5,11,0,0,12,11,13,54,25,65,90
Student,AY 23-24, 1st,student,degree,62,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,28,62,28,90
Faculty & Researcher,AY 23-24, 1st,employee,faculty,38,44,5,0,0,0,0,0,0,0,2,0,1,0,0,2,1,82,5,84,6,90
Student,AY 23-24, 1st,student,degree,57,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,33,57,33,90
Staff,AY 23-24, 1st,affiliate,contractor,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,30,60,90
Student,AY 23-24, 1st,student,degree,54,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,54,36,90
Others,AY 23-24, 1st,student,--Unknown billing code--,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,90,0,90
Staff,AY 23-24, 1st,employee,administrator,24,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,66,24,66,90
Student,AY 23-24, 1st,student,degree,43,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,43,47,90
Student,AY 23-24, 1st,student,degree,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,90
Student,AY 23-24, 1st,student,degree,67,0,3,0,0,0,0,0,0,0,2,0,17,0,0,2,17,67,3,69,20,89
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,71,0,10,0,0,0,0,0,0,0,7,0,1,0,0,7,1,71,10,78,11,89
Staff,AY 23-24, 1st,employee,administrator,12,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,76,13,76,89
Faculty & Researcher,AY 23-24, 1st,employee,researcher,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89,0,89
Others,AY 23-24, 1st,student,--Unknown billing code--,60,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29,60,29,89
Staff,AY 23-24, 1st,employee,administrator,48,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,48,41,48,41,89
Student,AY 23-24, 1st,student,degree,41,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,48,41,48,89
Staff,AY 23-24, 1st,employee,administrator,45,0,37,5,0,0,0,0,0,0,0,0,2,0,0,0,2,45,42,45,44,89
Student,AY 23-24, 1st,student,degree,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89,89
Student,AY 23-24, 1st,student,degree,5,0,81,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,81,5,84,89
Student,AY 23-24, 1st,student,degree,63,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,26,63,26,89
Student,AY 23-24, 1st,student,degree,82,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,6,82,6,88
Faculty & Researcher,AY 23-24, 1st,employee,researcher,25,0,61,0,0,0,0,0,0,0,0,0,2,0,0,0,2,25,61,25,63,88
Student,AY 23-24, 1st,student,degree,4,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,84,4,84,88
Student,AY 23-24, 1st,student,degree,84,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,4,84,4,88
Faculty & Researcher,AY 23-24, 1st,employee,researcher,84,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,84,0,84,4,88
Student,AY 23-24, 1st,student,degree,14,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,74,14,74,88
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,88,88
Student,AY 23-24, 1st,student,degree,64,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,24,64,24,88
Staff,AY 23-24, 1st,employee,administrator,29,0,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,59,29,59,88
Student,AY 23-24, 1st,student,degree,66,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,22,66,22,88
Student,AY 23-24, 1st,student,degree,11,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,11,76,87
Staff,AY 23-24, 1st,affiliate,contractor,2,56,17,0,0,0,0,0,0,0,0,8,0,4,0,8,4,58,17,66,21,87
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87,0,87
Staff,AY 23-24, 1st,affiliate,contractor,0,0,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87,87
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,47,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,47,40,87
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87,0,87
Staff,AY 23-24, 1st,affiliate,contractor,21,0,34,8,0,0,0,0,0,0,0,0,12,12,0,0,24,21,42,21,66,87
Student,AY 23-24, 1st,student,degree,84,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,3,84,3,87
Faculty & Researcher,AY 23-24, 1st,employee,researcher,38,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49,38,49,87
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87,0,87
Others,AY 23-24, 1st,student,--Unknown billing code--,45,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,45,42,87
Faculty & Researcher,AY 23-24, 1st,employee,researcher,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,3,84,87
Student,AY 23-24, 1st,student,degree,22,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65,22,65,87
Faculty & Researcher,AY 23-24, 1st,employee,researcher,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,86,1,87
Faculty & Researcher,AY 23-24, 1st,student,researcher,69,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,69,17,69,18,87
Student,AY 23-24, 1st,student,degree,49,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,49,37,86
Staff,AY 23-24, 1st,affiliate,administrator,31,0,0,0,0,0,0,0,0,0,52,0,3,0,0,52,3,31,0,83,3,86
Faculty & Researcher,AY 23-24, 1st,employee,researcher,82,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4,82,4,86
Staff,AY 23-24, 1st,employee,administrator,27,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,59,27,59,86
Faculty & Researcher,AY 23-24, 1st,employee,faculty,61,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,62,24,62,24,86
Staff,AY 23-24, 1st,employee,administrator,58,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,28,58,28,86
Staff,AY 23-24, 1st,affiliate,contractor,0,35,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,35,51,35,51,86
Staff,AY 23-24, 1st,affiliate,contractor,35,1,46,2,0,0,0,0,0,0,0,0,2,0,0,0,2,36,48,36,50,86
Student,AY 23-24, 1st,student,degree,19,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,19,67,86
Student,AY 23-24, 1st,student,degree,15,0,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,71,15,71,86
Student,AY 23-24, 1st,student,degree,70,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,13,73,13,86
Staff,AY 23-24, 1st,affiliate,contractor,34,0,9,0,0,0,0,0,0,0,0,0,14,29,0,0,43,34,9,34,52,86
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,59,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,27,59,27,86
Faculty & Researcher,AY 23-24, 1st,employee,researcher,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,86,86
Student,AY 23-24, 1st,student,degree,61,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,25,61,25,86
Staff,AY 23-24, 1st,affiliate,contractor,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,85
Staff,AY 23-24, 1st,employee,administrator,75,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10,75,10,85
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,0,85
Staff,AY 23-24, 1st,affiliate,administrator,6,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,9,76,85
Faculty & Researcher,AY 23-24, 1st,employee,researcher,25,0,57,2,0,0,0,0,0,0,0,0,1,0,0,0,1,25,59,25,60,85
Staff,AY 23-24, 1st,affiliate,administrator,4,9,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,72,13,72,85
Student,AY 23-24, 1st,student,degree,35,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,50,35,50,85
Student,AY 23-24, 1st,student,degree,61,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,66,19,66,19,85
Student,AY 23-24, 1st,student,degree,43,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,43,42,85
Student,AY 23-24, 1st,student,degree,2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,2,83,85
Student,AY 23-24, 1st,student,degree,44,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,44,41,85
Staff,AY 23-24, 1st,affiliate,contractor,1,5,54,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,79,6,79,85
Student,AY 23-24, 1st,student,degree,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,0,85
Student,AY 23-24, 1st,student,degree,35,0,35,5,0,0,0,0,0,0,0,0,10,0,0,0,10,35,40,35,50,85
Student,AY 23-24, 1st,student,degree,50,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,50,35,85
Faculty & Researcher,AY 23-24, 1st,employee,researcher,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82,3,82,85
Student,AY 23-24, 1st,student,degree,37,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,37,48,85
Faculty & Researcher,AY 23-24, 1st,employee,researcher,28,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,28,56,84
Faculty & Researcher,AY 23-24, 1st,employee,researcher,31,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,53,31,53,84
Student,AY 23-24, 1st,student,degree,81,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3,81,3,84
Others,AY 23-24, 1st,Default cost center,--Unknown billing code--,35,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,35,49,84
Student,AY 23-24, 1st,student,degree,79,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,5,79,5,84
Student,AY 23-24, 1st,student,degree,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,84,0,84
Student,AY 23-24, 1st,student,degree,80,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,80,4,84
Student,AY 23-24, 1st,student,degree,32,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,52,32,52,84
Student,AY 23-24, 1st,student,degree,80,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,80,4,84
Student,AY 23-24, 1st,student,degree,75,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,76,8,76,8,84
Student,AY 23-24, 1st,student,degree,44,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,40,44,40,84
Student,AY 23-24, 1st,student,degree,14,0,66,0,0,0,0,0,0,0,1,0,3,0,0,1,3,14,66,15,69,84
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,43,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,43,40,83
Faculty & Researcher,AY 23-24, 1st,affiliate,faculty,66,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,66,17,83
Faculty & Researcher,AY 23-24, 1st,employee,researcher,2,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,2,81,83
Student,AY 23-24, 1st,student,degree,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83,0,83
Staff,AY 23-24, 1st,affiliate,contractor,22,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,60,22,61,83
Faculty & Researcher,AY 23-24, 1st,employee,researcher,32,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,51,32,51,83
Staff,AY 23-24, 1st,affiliate,ad_contingent,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,3,80,83
Student,AY 23-24, 1st,student,degree,32,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,51,32,51,83
Staff,AY 23-24, 1st,affiliate,contractor,8,14,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,22,61,22,61,83
Student,AY 23-24, 1st,student,degree,66,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,66,17,83
Student,AY 23-24, 1st,student,degree,66,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,66,17,83
Faculty & Researcher,AY 23-24, 1st,employee,researcher,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,4,79,83
Student,AY 23-24, 1st,affiliate,degree,2,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,2,81,83
Student,AY 23-24, 1st,student,degree,64,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,19,64,19,83
Student,AY 23-24, 1st,student,degree,18,0,60,0,0,0,0,0,0,0,0,0,5,0,0,0,5,18,60,18,65,83
Faculty & Researcher,AY 23-24, 1st,student,researcher,22,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,61,22,61,83
Faculty & Researcher,AY 23-24, 1st,employee,faculty,78,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,81,1,82
Staff,AY 23-24, 1st,affiliate,contractor,6,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76,6,76,82
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,0,82
Staff,AY 23-24, 1st,employee,administrator,61,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,21,61,21,82
Staff,AY 23-24, 1st,employee,administrator,15,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,63,19,63,82
Faculty & Researcher,AY 23-24, 1st,employee,faculty,25,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,56,25,57,82
Staff,AY 23-24, 1st,affiliate,contractor,0,23,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,23,59,82
Faculty & Researcher,AY 23-24, 1st,affiliate,researcher,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,0,82
Faculty & Researcher,AY 23-24, 1st,employee,faculty,15,0,43,0,0,0,0,0,0,0,0,0,24,0,0,0,24,15,43,15,67,82
Student,AY 23-24, 1st,student,degree,62,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,20,62,20,82
Faculty & Researcher,AY 23-24, 1st,employee,researcher,58,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,24,58,24,82
Student,AY 23-24, 1st,student,degree,19,0,53,0,0,0,0,0,0,0,0,0,10,0,0,0,10,19,53,19,63,82
Staff,AY 23-24, 1st,affiliate,contractor,0,1,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,1,81,82
Student,AY 23-24, 1st,student,degree,8,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,8,74,82
